Keyword,Extracted Sentence
climate,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
climate,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
climate,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
dare,"How dare you!
"
dare,"How dare you!

"
dare,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
dare,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
billions,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
thunberg,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
thunberg,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
growth,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
odds,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
solved,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
say,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
say,"""You say you hear us and that you understand the urgency."
say,"And if you choose to fail us, I say: We will never forgive you.
"
chance,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
chance,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
emissions,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
emissions,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
feedback,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
eternal,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
away,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
away,"""We will not let you get away with this."
right,"Right here, right now is where we draw the line."
come,Yet you all come to us young people for hope.
come,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
air,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
air,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
air,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
risk,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
risk,"""So a 50% risk is simply not acceptable to us — we who have to live with the consequences.
"
failing,"Because if you really understood the situation and still kept on failing to act, then you would be evil."
failing,"""You are failing us."
acceptable,"""Fifty percent may be acceptable to you."
acceptable,"""So a 50% risk is simply not acceptable to us — we who have to live with the consequences.
"
coming,"And change is coming, whether you like it or not.
"
watching,"""My message is that we'll be watching you.
"
celsius,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
money,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
future,The eyes of all future generations are upon you.
pretend,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
lucky,And yet I'm one of the lucky ones.
entirely,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
politics,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
idea,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
leaders,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
350,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
evil,"Because if you really understood the situation and still kept on failing to act, then you would be evil."
action,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
action,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
420,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
york,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
hear,"""You say you hear us and that you understand the urgency."
levels,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
people,Yet you all come to us young people for hope.
people,People are suffering.
people,People are dying.
people,But the young people are starting to understand your betrayal.
today,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
today,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
today,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable."
line,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable."
line,"Right here, right now is where we draw the line."
believe,"But no matter how sad and angry I am, I do not want to believe that."
believe,"And that I refuse to believe.
"
budget,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
beginning,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
beginning,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
hidden,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
barely,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
forgive,"And if you choose to fail us, I say: We will never forgive you.
"
loops,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
fail,"Because if you really understood the situation and still kept on failing to act, then you would be evil."
fail,"""You are failing us."
fail,"And if you choose to fail us, I say: We will never forgive you.
"
response,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
extinction,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
stolen,"""You have stolen my dreams and my childhood with your empty words."
technical,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
draw,"Right here, right now is where we draw the line."
betrayal,But the young people are starting to understand your betrayal.
tales,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
talk,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
irreversible,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
ones,And yet I'm one of the lucky ones.
equity,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
generation,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
generation,The eyes of all future generations are upon you.
question,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
additional,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
rely,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
rely,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
crystal,"For more than 30 years, the science has been crystal clear."
figure,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
figure,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable."
collapsing,Entire ecosystems are collapsing.
control,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
human,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
popular,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
let,"""We will not let you get away with this."
points,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
gigatons,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
gigatons,"Today that figure is already down to less than 350 gigatons
""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?"
ll,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
ll,"""My message is that we'll be watching you.
"
ll,"""This is all wrong."
ll,Yet you all come to us young people for hope.
ll,Entire ecosystems are collapsing.
ll,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
ll,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
ll,"Because if you really understood the situation and still kept on failing to act, then you would be evil."
ll,"But those numbers do not include tipping points, most feedback loops, additional warming hidden by toxic air pollution or the aspects of equity and climate justice."
ll,"They also rely on my generation sucking hundreds of billions of tons of your CO2 out of the air with technologies that barely exist.
"
ll,"With today's emissions levels, that remaining CO2 budget will be entirely gone within less than 8 1/2 years.
"
ll,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable."
ll,"And you are still not mature enough to tell it like it is.
"
ll,The eyes of all future generations are upon you.
ll,"And if you choose to fail us, I say: We will never forgive you.
"
ll,"""We will not let you get away with this."
intergovernmental,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
thank,"""Thank you."
setting,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
understood,"Because if you really understood the situation and still kept on failing to act, then you would be evil."
starting,But the young people are starting to understand your betrayal.
addressed,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
ecosystems,Entire ecosystems are collapsing.
figures,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable."
30,"For more than 30 years, the science has been crystal clear."
childhood,"""You have stolen my dreams and my childhood with your empty words."
percent,"""Fifty percent may be acceptable to you."
eyes,The eyes of all future generations are upon you.
summit,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
greta,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
economic,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth."
needed,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
speech,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
1st,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
doing,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
reactions,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.
"
presented,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable."
rise,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
generations,The eyes of all future generations are upon you.
sad,"But no matter how sad and angry I am, I do not want to believe that."
2018,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018."
words,"""You have stolen my dreams and my childhood with your empty words."
dreams,"""You have stolen my dreams and my childhood with your empty words."
continue,"How dare you continue to look away and come here saying that you're doing enough, when the politics and solutions needed are still nowhere in sight.
"
clear,"For more than 30 years, the science has been crystal clear."
transcript,"Here's the full transcript of Thunberg's speech, beginning with her response to a question about the message she has for world leaders.
"
matter,"But no matter how sad and angry I am, I do not want to believe that."
city,"Climate activist Greta Thunberg, 16, addressed the U.N.'s Climate Action Summit in New York City on Monday."
